Small Unit Installation Postcode,Dec 2010 - Installations Quantity,Dec 2010 - SGU Rated Output In kW
2663,36,83.88
2665,12,57.244
2666,59,135.18
2668,1,0.16
2669,11,43.01
2671,23,60.06
2672,7,18.18
2675,7,21.52
2680,159,540.44
2681,19,63.52
2700,20,79.205
2701,26,100.46
2702,4,5.57
2703,4,15.97
2705,45,162.71
2706,9,28.58
2707,12,58.12
2710,100,298.855
2711,14,63.76
2712,5,6.8
2713,32,135.02
2714,66,136.002
2715,3,13.85
2716,38,71.24
2717,4,8.2
2720,52,106.659
2721,0,0
2722,14,42.86
2725,5,11.22
2726,1,2.04
2727,4,18.83
2729,12,37.525
2730,14,28.63
2731,76,144.154
2732,11,29.75
2733,1,10.08
2734,0,0
2735,6,36.75
2736,6,9.05
2737,0,0
2738,25,57.97
2739,11,30.06
2745,412,840.749
2747,404,739.177
2748,28,93.54
2749,209,470.96
2750,646,1158.743
2751,0,0
2752,76,151.574
2753,236,507.836
2754,71,164.78
2756,421,1008.975
2757,7,12.02
2758,152,372.379
2759,349,618.02
2760,282,497.882
2761,372,615.282
2762,68,121.5
2763,482,868.708
2765,197,484.51
2766,170,403.815
2767,291,494.643
2768,550,989.247
2769,62,105.199
2770,538,1011.764
2773,130,247.956
2774,269,515.616
2775,34,62.425
2776,135,230.436
2777,434,819.097
2778,75,123.71
2779,125,201.594
2780,306,494.978
2782,154,270.787
2783,77,127.28
2784,45,69.275
2785,148,221.022
2786,39,77.14
2787,74,249.13
2790,172,361.225
2791,7,13.49
2792,5,28.35
2793,12,14.62
2794,147,281.865
2795,449,1177.897
2797,1,2.88
2798,21,48.37
2799,29,106.25
2800,358,915.757
2803,2,2.54
2804,47,115.775
2805,3,11.55
2806,8,27.765
2807,2,3.15
2808,5,9.06
2809,0,0
2810,32,101.24
2818,0,0
2820,30,104.57
2821,43,94.29
2823,12,53.29
2824,1,4.44
2825,18,72.41
2827,25,83.14
2828,0,0
2829,8,48.98
2830,1218,2124.875
2831,39,92.4
2832,5,25.83
2833,1,1.155
2834,3,12
2835,81,183.76
2836,6,5.295
2839,2,20.28
2840,22,53.9
2842,3,3.54
2843,5,10.75
2844,10,20.115
2845,19,51.165
2846,15,23.8
2847,28,56.22
2848,12,35.44
2849,40,100.02
2850,170,449.465
2852,25,83.465
2864,5,8.18
2865,50,147.485
2866,30,80.81
2867,13,83.96
2868,2,2.77
2869,1,9.62
2870,72,276.965
2871,45,190.795
2873,1,1.05
2874,2,12.08
2875,1,1.05
2876,1,10.32
2877,8,34.755
2878,5,3.9
2879,6,11.095
2880,604,1009.88
2898,1,4.2
2899,331,845.13
2900,6,16.48
2902,202,394.609
2903,105,221.56
2904,182,294.27
2905,298,558.711
2906,139,256.23
2911,2,3.004
2912,28,55.5
2913,199,366.907
2914,71,131.917
3000,4,14.35
3002,2,4.044
3003,9,22.29
3004,2,10.65
3006,2,14.7
3008,1,1.575
3011,96,132.992
3012,146,221.048
3013,92,138.468
3015,104,152.313
3016,103,164.648
3018,286,365.421
3019,45,65.12
3020,572,506.833
3021,314,471.821
3022,33,44.346
3023,676,976.115
3024,194,300.523
3025,58,80.906
