Small Unit Installation Postcode,Jan 2014 - Installations Quantity,Jan 2014 - SGU Rated Output In kW,Feb 2014 - Installations Quantity,Feb 2014 - SGU Rated Output In kW,Mar 2014 - Installations Quantity,Mar 2014 - SGU Rated Output In kW,Apr 2014 - Installations Quantity,Apr 2014 - SGU Rated Output In kW,May 2014 - Installations Quantity,May 2014 - SGU Rated Output In kW
2100,5,15.71,3,8.88,6,33.75,3,11,1,2.943
2101,1,3.06,1,5,0,0,3,12,0,0
2102,3,21.24,1,2.5,2,7.56,1,3.64,1,1.75
2103,3,10,4,10,0,0,3,9.54,0,0
2104,1,6,0,0,1,4,1,1.17,0,0
2105,1,4,0,0,0,0,0,0,0,0
2106,2,8.83,2,10.88,1,3.5,1,8,0,0
2107,4,13.75,2,8,5,20.49,1,8.12,3,8.48
2108,0,0,0,0,1,4.905,0,0,1,3.48
2109,0,0,0,0,0,0,0,0,0,0
2110,1,3.5,0,0,1,5,1,5.22,0,0
2111,1,1.5,1,3,0,0,1,2,0,0
2112,1,2.44,2,8.91,2,7,1,8,0,0
2113,2,8,2,6.8,1,3,3,8.56,0,0
2114,0,0,0,0,6,26.4,2,7,0,0
2115,2,5.5,0,0,1,1,2,9,0,0
2116,1,1.75,1,100,1,4.75,0,0,0,0
2117,3,13.725,1,3,3,16,4,16.995,0,0
2118,4,15.4,4,19.08,4,16,0,0,1,5
2119,1,3.5,2,9,3,11.985,1,3.5,1,3
2120,1,9.1,5,18.535,6,24.265,2,7.06,1,4
2121,3,10.1,2,7.9,7,25.46,3,11.435,1,3
2122,4,11.412,6,25.31,3,12.85,6,17.828,0,0
2123,0,0,0,0,0,0,0,0,0,0
2124,0,0,0,0,0,0,0,0,0,0
2125,1,3,9,29.97,7,31.475,4,16.14,0,0
2126,3,16.75,3,17,6,12.443,2,6.615,0,0
2127,0,0,0,0,0,0,1,99.75,0,0
2128,0,0,0,0,0,0,2,7.25,0,0
2130,1,1.75,0,0,0,0,2,5.55,0,0
2131,0,0,3,12.75,0,0,2,6.75,0,0
2132,0,0,1,2,2,54,1,1.25,0,0
2133,1,5,0,0,0,0,1,4,0,0
2134,0,0,1,99,0,0,0,0,0,0
2135,4,15,1,5,1,1.9,0,0,0,0
2136,1,4,0,0,1,2,0,0,0,0
2137,2,8,1,2.16,1,4.08,1,5,0,0
2138,1,5,1,3,0,0,0,0,0,0
2140,3,45,0,0,1,5,0,0,0,0
2141,2,6.29,2,5,4,12.06,1,3.924,2,14
2142,1,4,2,4.75,5,23.75,0,0,3,18
2143,0,0,1,2.04,1,3.06,2,4.25,0,0
2144,1,2.115,1,2.25,3,10.4,5,56.635,1,5
2145,6,20,14,50.56,5,15.475,8,21.78,0,0
2146,1,3,4,10.5,4,13.85,0,0,0,0
2147,5,17.05,7,29.58,8,21.5,7,23,0,0
2148,16,44.18,10,28.5,11,30.83,12,65.92,2,7
2150,0,0,0,0,1,4,2,22,0,0
2151,3,17,0,0,0,0,0,0,0,0
