Small Unit Installation Postcode,Jan 2014 - Installations Quantity,Jan 2014 - SGU Rated Output In kW,Feb 2014 - Installations Quantity,Feb 2014 - SGU Rated Output In kW,Mar 2014 - Installations Quantity,Mar 2014 - SGU Rated Output In kW,Apr 2014 - Installations Quantity,Apr 2014 - SGU Rated Output In kW,May 2014 - Installations Quantity,May 2014 - SGU Rated Output In kW
2574,6,21.635,2,7.08,4,13.825,2,6.75,1,8.25
2575,6,21.75,10,29.66,9,28.06,13,38.945,2,6.04
2576,3,6.53,6,112.39,5,13.28,2,6,4,8.63
2577,5,14.75,10,33.036,12,41.18,3,11.75,0,0
2578,3,7.71,1,2,1,3,2,4,1,5.01
2579,5,19.32,1,5,4,14.06,0,0,1,2.5
2580,6,22.05,14,96.63,10,35.21,14,56,5,13.79
2581,1,2.115,4,16,1,3,1,3,2,4.53
2582,4,15,11,36.87,5,26.5,11,62.465,0,0
2583,2,8.35,1,2.5,5,16,7,22.04,0,0
2584,0,0,0,0,0,0,2,9,0,0
2585,0,0,0,0,0,0,0,0,0,0
2586,3,9.5,10,31.81,11,33.023,4,26.58,2,14.75
2587,4,18,4,11.5,2,9,5,39.145,0,0
2588,1,2,0,0,0,0,1,2,0,0
2590,4,8,3,9.2,7,19,3,12,1,5
2594,2,6,12,58.75,20,108,5,18.6,1,10
2600,0,0,1,3,0,0,0,0,0,0
2601,0,0,0,0,0,0,0,0,0,0
2602,5,15.4,4,15.92,7,20.75,2,5.06,0,0
2603,1,5.07,3,8.778,0,0,0,0,0,0
2604,3,6.11,0,0,1,3.25,1,3,0,0
2605,1,4.875,1,1.75,0,0,1,3,0,0
2606,1,6,0,0,2,6,0,0,0,0
2607,2,5,1,5,0,0,2,7.12,0,0
2609,1,6,0,0,0,0,0,0,0,0
2611,10,41.545,5,18.255,2,4,2,8.5,0,0
2612,1,2.925,1,2.34,1,5.1,0,0,0,0
2614,3,11.16,1,2.6,0,0,2,8.95,0,0
2615,6,21.75,7,21.46,11,35.52,2,5.5,1,5
2616,0,0,0,0,0,0,0,0,0,0
2617,4,11.68,5,19.66,7,20.62,3,10.62,0,0
2618,0,0,1,4.95,1,5,0,0,0,0
2619,8,39.91,7,36.389,3,10.09,3,14.867,0,0
2620,20,88.61,22,87.79,21,165.065,16,62.448,3,33.6
2621,3,13.732,8,42.373,3,16,1,5,0,0
2622,9,20.24,1,5,2,5.305,1,3,0,0
2623,0,0,0,0,0,0,0,0,0,0
2624,0,0,0,0,0,0,0,0,0,0
2625,0,0,0,0,0,0,0,0,0,0
2626,0,0,1,3,1,4.7,0,0,0,0
2627,2,3.5,2,8.25,3,11.83,1,3.29,0,0
2628,2,3,3,9.69,1,3,1,5,0,0
2629,0,0,2,5.1,2,5,0,0,0,0
2630,4,10.08,0,0,1,1.75,3,10.1,0,0
2631,1,5.5,0,0,0,0,0,0,0,0
2632,2,7,0,0,1,3.06,0,0,0,0
2633,0,0,0,0,1,4,0,0,0,0
2640,22,110.29,25,98.669,29,114.49,13,69.465,6,25.2
2641,13,39.25,11,36,6,20,5,12,4,11.76
2642,3,12,5,19.75,2,9.5,4,15.5,1,3
2643,4,58.68,4,10,0,0,3,9,1,3
2644,9,35,6,51.5,3,28.34,0,0,0,0
2645,0,0,0,0,0,0,2,4,0,0
2646,6,38.52,7,22,12,45.53,6,21.54,3,125
2647,2,5.5,4,14,1,5.1,1,5,0,0
2648,1,40,1,2,2,4.5,0,0,0,0
2649,0,0,1,3,0,0,0,0,0,0
2650,30,96.36,26,122.98,25,98.84,25,85.83,4,8.94
2651,1,2,0,0,2,6.31,0,0,0,0
2652,2,6.6,2,17.1,4,12.65,1,3.12,0,0
2653,1,5,1,3,1,2.81,2,6.78,0,0
2655,0,0,1,3,0,0,0,0,0,0
2656,0,0,0,0,1,3,0,0,0,0
2658,0,0,0,0,3,18.15,0,0,0,0
2659,0,0,0,0,2,7,5,23,0,0
2660,1,3,5,33.3,2,7.905,1,4,0,0
2663,13,42,6,14,9,30.28,6,24.57,0,0
2665,0,0,2,4.25,0,0,0,0,0,0
2666,0,0,6,20.5,9,40.77,0,0,1,5
2668,0,0,1,3.75,1,1.5,1,3,0,0
2669,1,10,2,8,0,0,0,0,0,0
2671,2,18,1,1.7,1,3,4,14,0,0
2672,2,9.68,3,11,5,40.5,2,40.04,1,4.68
2675,1,89.5,1,5,0,0,3,18.36,0,0
2680,3,17.5,7,41.32,5,138.5,1,6.12,0,0
2681,0,0,2,7.5,0,0,2,6.5,0,0
2700,10,44,7,29.75,2,6.59,3,10.75,0,0
2701,2,6.59,5,14.79,3,12.5,0,0,0,0
2702,0,0,2,2,1,2,1,1.645,0,0
2703,1,3,0,0,3,13.9,0,0,0,0
2705,7,72.54,3,13.25,7,74.38,3,17.4,0,0
2706,1,5.5,0,0,0,0,3,9,0,0
2707,1,4,0,0,0,0,1,3,0,0
2710,8,44.75,10,84.87,6,30.915,7,81.94,1,5
2711,2,13,2,4.41,2,3.5,0,0,0,0
2712,1,10,2,5,5,38.6,2,8.5,0,0
2713,5,18.5,4,13.75,1,40,2,8.06,1,4.9
2714,0,0,3,11.75,2,25,5,26,0,0
2715,0,0,0,0,0,0,0,0,0,0
2716,3,21,2,13,1,2,0,0,0,0
2717,0,0,1,3,0,0,0,0,0,0
2720,10,30.5,4,8.28,9,109.82,2,15,0,0
2721,0,0,0,0,0,0,1,3,0,0
2722,4,7.7,6,18.65,2,3.58,4,15,0,0
2725,1,3,0,0,0,0,0,0,1,3
2726,0,0,0,0,0,0,0,0,0,0
2727,0,0,0,0,0,0,0,0,0,0
2729,5,15.75,4,10.25,2,6,0,0,0,0
2730,4,10.5,5,12.5,10,27.25,4,7.5,0,0
2731,4,14.62,9,42.5,3,10,4,43,0,0
2732,0,0,0,0,2,39.75,1,5,0,0
2733,2,10,1,3.5,1,10,1,5.6,1,5
2734,0,0,0,0,1,8.5,0,0,0,0
2735,0,0,0,0,0,0,0,0,0,0
2736,0,0,0,0,0,0,0,0,0,0
2737,0,0,0,0,0,0,0,0,0,0
2738,1,4.5,2,9,3,12,0,0,0,0
2739,3,14.655,3,14.5,0,0,2,10.16,0,0
2745,19,108.44,12,46.36,13,35.04,13,54.515,4,16.75
2747,16,62.25,14,48.93,14,42.81,11,42.75,4,18.5
2748,1,3,1,3,1,4,1,6,0,0
2749,3,10,11,39.08,4,66,6,21.145,1,3.5
2750,10,48.22,15,39,11,28.8,12,47.12,2,18
2751,0,0,1,10.137,0,0,0,0,0,0
2752,2,16,1,3,1,5.1,5,15.235,0,0
2753,5,13.055,4,21.5,7,29.24,5,28.26,3,20.3
2754,0,0,4,16.74,2,7.75,0,0,0,0
2756,9,44.92,4,11.06,19,88.804,13,63,6,24.31
2757,0,0,0,0,1,4,0,0,0,0
2758,1,3,1,3.05,2,8.32,3,12.81,0,0
2759,7,24.055,7,32.05,7,20.75,9,28.315,0,0
2760,13,44.5,10,34,9,29.03,10,31.115,1,1.5
2761,6,19.16,8,25.3,5,18.5,5,24.34,0,0
2762,0,0,2,7.5,3,14,1,2,0,0
2763,3,9,9,26.8,7,19.5,5,15.79,2,6.43
2765,2,8.75,2,7,3,10.725,4,11.75,1,5.1
2766,4,25,0,0,0,0,4,15.48,1,1.5
2767,27,63.7,12,27.835,20,42.2,11,27.41,6,17
2768,11,39.39,9,30.5,12,42.715,8,37.246,0,0
2769,5,15,1,3,7,29.17,6,23.06,0,0
2770,11,38.25,24,68.68,17,46.45,12,44.6,2,7.75
2773,2,6.25,1,4.75,3,9.5,5,16.22,1,7
2774,3,11.5,6,26.221,8,31.52,4,13.75,1,5.232
2775,0,0,1,6,1,3,2,4.58,0,0
2776,0,0,1,0.585,4,14,1,4,0,0
2777,5,16.56,7,28.138,9,30.85,2,5,1,4.5
2778,0,0,1,3,3,8.955,3,4.5,0,0
2779,2,6,1,1.75,1,3,2,6.5,0,0
2780,3,11.25,6,113.325,1,4.5,4,11.91,0,0
2782,0,0,3,9.77,1,1.645,5,17.175,1,1.5
2783,0,0,0,0,2,6.25,1,3,0,0
2784,0,0,0,0,2,4.25,0,0,0,0
2785,0,0,1,3,3,10.75,2,5,1,3.29
2786,0,0,1,5,0,0,1,5,1,3
2787,2,8,4,18.2,1,3.25,2,6.5,0,0
2790,4,11.75,18,86.64,7,35.84,10,33.695,3,23.6
2791,0,0,1,5,0,0,0,0,0,0
2792,0,0,0,0,0,0,0,0,0,0
2793,1,1.6,2,7,3,5.895,0,0,0,0
2794,6,21,4,14.04,7,45.109,6,22.135,2,8
2795,19,81.795,24,99.75,15,48.97,18,79.02,5,17.555
2797,0,0,0,0,1,5,1,4,0,0
2798,1,4.05,4,13.625,3,5.5,3,11.455,0,0
2799,3,14,5,40.04,4,18.9,2,3.5,0,0
2800,24,159.48,36,151.27,18,165.19,20,105.645,3,15.76
2803,1,3.6,0,0,0,0,0,0,0,0
2804,2,30,2,6.52,1,2,1,3.5,0,0
2805,1,2,0,0,0,0,0,0,0,0
2806,1,4.27,1,4.56,0,0,0,0,0,0
2807,0,0,0,0,0,0,1,2.75,0,0
2808,0,0,0,0,0,0,0,0,0,0
2809,0,0,0,0,1,1.755,0,0,0,0
2810,0,0,3,9.5,2,11.5,1,3,0,0
2818,0,0,1,1.41,0,0,3,9,0,0
2820,3,13.32,6,18.29,8,23.155,8,25.055,0,0
2821,11,52,4,20.09,4,8,1,3.57,2,8.07
2823,1,5,1,4.5,0,0,0,0,0,0
2824,3,17.34,1,2,0,0,4,19,3,13.5
2825,0,0,1,3,1,4,2,5.5,0,0
2826,1,2,0,0,0,0,0,0,0,0
2827,5,47,3,13.75,6,43.58,9,42.58,0,0
2828,1,5,1,5,0,0,0,0,0,0
2829,10,41.25,5,29.5,5,25.1,2,10.1,0,0
2830,26,106.095,16,63.84,19,81.885,27,237.63,8,31.54
2831,1,3.055,0,0,2,2.2,1,3.57,0,0
2832,2,45,2,8.92,1,3.055,1,3,0,0
2833,0,0,0,0,0,0,0,0,0,0
2834,2,10,0,0,0,0,0,0,0,0
2835,4,33.7,0,0,5,24.18,1,3,0,0
2836,0,0,0,0,0,0,0,0,0,0
2839,0,0,0,0,0,0,0,0,0,0
2840,3,13,3,13,1,3,0,0,0,0
2842,1,3,0,0,0,0,1,2,0,0
2843,1,5,0,0,0,0,1,3,1,3.5
2844,0,0,1,4,0,0,0,0,0,0
2845,1,2,4,9.54,2,8.5,1,3.15,0,0
2846,0,0,0,0,1,11.25,0,0,0,0
2847,3,13.5,11,29,8,29.17,4,12,0,0
2848,0,0,0,0,1,28.62,0,0,0,0
2849,1,5.94,0,0,1,4,1,5,0,0
2850,2,6.56,6,23.4,11,89.04,8,50.8,3,11.16
2852,0,0,2,7.02,2,6,4,11.41,1,4
2864,0,0,1,1.5,0,0,0,0,0,0
2865,0,0,1,3,1,3,0,0,0,0
2866,1,3,6,27.88,2,10,3,17.35,0,0
2867,1,5,0,0,0,0,0,0,0,0
2868,1,10,0,0,0,0,2,14,0,0
2869,0,0,3,9.5,2,3.94,0,0,0,0
2870,9,42.99,11,42.53,11,50,8,36,0,0
2871,5,16.45,3,14.5,5,20,5,19,0,0
2873,1,10,0,0,1,3.19,0,0,0,0
2874,1,3,1,3,0,0,1,3,0,0
2875,0,0,2,5.5,1,4.08,0,0,0,0
2876,0,0,2,10,1,4.8,1,5,0,0
2877,0,0,16,71.62,1,4.08,1,1.5,2,9
2878,0,0,0,0,0,0,0,0,1,5
2879,1,10,2,6,0,0,1,25.5,0,0
2880,23,145.95,12,57.745,16,142.12,15,52.7,0,0
2898,0,0,0,0,0,0,0,0,0,0
2899,0,0,0,0,0,0,0,0,0,0
2900,0,0,0,0,0,0,0,0,0,0
2901,0,0,0,0,0,0,0,0,0,0
2902,8,23.59,7,27.83,3,10.5,1,6,0,0
2903,3,14.095,4,19.095,1,4,2,6,0,0
2904,2,8,3,20.04,2,8.17,2,6.324,0,0
2905,3,10.53,7,21.06,5,15.44,4,19.25,0,0
2906,4,20.5,2,11,2,6.06,5,18,1,1.53
2911,0,0,0,0,0,0,0,0,0,0
2912,0,0,0,0,2,6.79,0,0,0,0
2913,1,7,3,10.08,5,19.3,2,8,1,4.16
2914,2,7.73,2,6.9,5,21.98,3,10,0,0
3000,0,0,0,0,1,5,0,0,0,0
3002,0,0,0,0,1,99.77,0,0,0,0
3003,0,0,0,0,0,0,0,0,0,0
3004,0,0,0,0,0,0,0,0,0,0
3006,0,0,0,0,0,0,0,0,0,0
3008,0,0,0,0,0,0,0,0,1,40
3011,5,14.395,5,38.29,1,2,3,6.5,0,0
3012,10,24.055,7,24.9,7,31.02,7,18.67,0,0
3013,4,13.5,7,23.8,4,14,1,4,0,0
3015,6,24.645,8,31,5,23.12,6,19.75,1,2
3016,5,16.14,4,12.5,3,8.35,3,9.38,1,2.48
3018,1,3.5,7,68,7,28.4,4,11.5,0,0
3019,1,5,3,9.5,3,14,1,5,0,0
3020,19,80.15,11,37.94,9,55.75,6,19.75,0,0
3021,20,71.5,22,81.87,25,91.6,16,50.68,1,4
3022,2,4.5,2,5,2,8.5,3,13.5,0,0
3023,37,135.69,29,103.65,31,115.8,23,79.825,4,12
3024,15,53.1,16,57.88,19,73.25,11,40.305,3,19
3025,3,9,4,8.75,6,19.06,4,12.5,0,0
3026,3,25,1,97.5,0,0,0,0,0,0
3027,4,13.32,2,9,9,33.57,1,3,0,0
3028,15,56.35,14,46.75,12,45.5,6,20.58,1,1.75
3029,62,242.47,66,238.045,55,198.735,33,114.5,8,32.915
3030,77,261.05,50,190.245,50,177.71,23,83.1,7,35.5
3031,3,6.985,1,3.75,3,27.2,3,9.5,1,4
3032,3,24,8,29.61,4,14,1,5,0,0
3033,10,30.75,15,74.775,7,34.81,2,6.5,1,2.5
3034,6,55,7,26.5,10,34.18,5,15.75,0,0
3036,1,1.5,1,5.4,3,15,1,3.5,0,0
3037,23,91.16,33,126.79,33,130.55,15,58.5,4,15
3038,7,23.5,9,73.225,15,54.13,11,47.73,0,0
3039,5,27.5,1,5,4,19.16,2,4.8,0,0
3040,4,16.75,9,47.39,3,9,4,15,0,0
3041,4,12.75,5,17.4,4,13.5,4,15.712,0,0
3042,4,21.75,5,17,9,62.2,2,6.645,2,3.75
3043,10,37.21,16,74.5,15,58.33,7,23.5,0,0
3044,7,20.75,6,22.78,8,27.12,4,17.47,0,0
3045,0,0,0,0,0,0,0,0,0,0
3046,9,31.25,16,63.3,11,44.25,4,13.3,0,0
3047,9,29.5,12,38.2,6,20.5,7,28.27,0,0
3048,10,30,14,44.2,9,28.87,6,24,0,0
3049,4,17,5,14,1,3,2,9,0,0
3051,1,2,0,0,1,2.12,0,0,0,0
3052,0,0,1,5,1,3.18,0,0,0,0
3053,2,6,0,0,1,3.12,0,0,0,0
3054,2,8.91,1,3,2,6.005,0,0,0,0
3055,4,12.085,2,8.83,1,2.12,1,3,0,0
3056,7,56.09,3,8.32,8,18.43,0,0,0,0
3057,0,0,0,0,3,12.694,2,6.5,0,0
3058,10,57.75,13,41.75,18,169.582,9,54.79,1,2
3059,8,44,16,70.44,9,41.45,7,45.75,2,9
3060,5,21.25,4,9.849,6,23,4,16,1,60
3061,2,9,4,46.2,0,0,3,40,0,0
3062,0,0,0,0,0,0,0,0,0,0
3063,0,0,0,0,0,0,1,6,0,0
3064,45,156.813,63,237.345,47,179.36,27,102.35,3,13.5
3065,1,0.78,2,6.62,1,4,1,3,0,0
3066,2,12,1,2.08,0,0,2,8,0,0
3067,2,40,3,17.08,1,1.5,0,0,0,0
3068,2,21.32,3,11.75,3,6.09,0,0,0,0
3070,6,20.5,9,38.6,7,23.415,4,15,2,5.89
3071,4,12,4,13.47,4,15.06,3,8.5,0,0
3072,10,35.75,11,40.535,14,74.25,7,21,2,5
3073,24,64,14,46.08,12,35.38,7,26.41,0,0
3074,10,42.3,8,39.75,9,36.89,6,26.5,0,0
3075,9,27.3,9,30.3,12,47,12,40.25,1,2
3076,24,99.75,22,81.5,14,46.25,7,26.75,1,2
3078,4,14.25,2,6.17,4,10.97,3,8.535,0,0
3079,7,24.41,4,15.889,5,16.24,1,5.23,0,0
3081,3,8.12,1,3,1,3.5,1,3,0,0
3082,15,52.5,10,34.405,13,42,9,33.53,2,5
3083,13,45.55,9,39.205,10,35.995,5,18.5,1,3
3084,6,31.25,9,30.63,7,30.58,8,32.295,1,5.145
3085,1,3.5,6,20.5,7,20,4,10.75,1,3
3087,4,12.09,4,15.06,3,12.5,1,2,1,3
3088,11,37.89,13,39.51,14,67.5,13,42.27,3,10.5
3089,0,0,4,16,5,17.85,1,5,2,6
3090,1,3,1,10,3,21.5,1,4.5,0,0
3091,0,0,3,10,2,9.09,1,13,0,0
3093,1,1.75,0,0,0,0,1,12.5,0,0
3094,6,21.355,3,11,2,6.5,6,16.06,0,0
3095,9,28.88,8,22.475,11,36.745,4,14.25,2,4.5
3096,1,2.25,0,0,0,0,0,0,0,0
3097,0,0,1,4.5,5,22.225,0,0,0,0
3099,4,12.25,1,4.5,2,6.06,0,0,0,0
3101,4,21.27,4,14.12,5,17.5,0,0,0,0
3102,0,0,1,2,3,7.615,1,3,0,0
3103,2,6,2,7.8,1,5,1,3,0,0
3104,6,19.75,1,4,6,20,1,5,0,0
3105,0,0,2,6.25,4,23.21,0,0,3,12
3106,3,10.5,4,17,6,23,3,12.75,1,10.2
3107,0,0,4,13.3,2,6,2,9,1,5
3108,4,17,3,14,3,9.5,4,13.055,0,0
3109,2,6.055,5,15.115,10,38.66,0,0,0,0
3111,5,23,3,8.5,2,8.5,1,4,1,4.5
3113,4,13.5,7,29.24,2,20,4,17,0,0
3114,2,9.5,3,9.34,0,0,0,0,0,0
3115,3,13.94,3,15.5,3,13.95,2,9,1,4.5
3116,4,16.07,9,26.015,5,18,1,4,0,0
3121,1,3,4,10.75,2,34,5,18.09,0,0
3122,1,4.94,0,0,3,16.26,1,4.5,0,0
3123,3,7.75,2,7.855,3,11,2,6.5,1,3.5
3124,3,10.945,4,11,2,7.5,4,15.5,0,0
3125,3,11.5,3,17.25,4,13.82,2,5,2,9.08
3126,0,0,1,2,1,2,0,0,0,0
3127,4,10.25,3,5.5,6,23.58,4,9.58,0,0
3128,2,4.5,2,10,3,11,3,11.98,0,0
3129,2,6,2,5.25,6,15.77,2,7,0,0
3130,7,22.48,12,38.11,14,53.51,7,25,1,10
3131,2,6.25,7,28,5,15.05,5,18.06,0,0
3132,9,27.25,6,15,5,16.75,3,5.75,0,0
3133,8,30.75,9,30.94,11,44.8,6,20.44,0,0
3134,11,45.5,14,47.12,15,48.75,15,59.25,0,0
3135,10,35.58,5,16.5,15,46.415,4,15.48,0,0
3136,24,101.395,18,56.84,24,85.08,18,74.29,1,5
3137,6,17,14,45.9,5,24.755,2,7.08,0,0
3138,6,13.05,4,14.5,11,36.81,6,23.5,1,5
3139,11,42.25,18,78.84,11,51.8,5,24,1,9.18
3140,2,7.25,11,44.44,13,53.67,8,29.45,1,1.645
3141,0,0,0,0,2,6,1,3.5,0,0
3142,0,0,2,10,0,0,0,0,0,0
3143,2,8.5,2,8.62,1,2.29,1,2,0,0
3144,2,10.05,1,4.16,1,2.9,2,5.5,0,0
3145,6,28.66,9,31.305,3,7.12,3,13.12,1,5
3146,7,24.44,8,32.645,10,35.14,6,28,0,0
3147,2,8.66,4,13.5,5,28.1,2,5,0,0
3148,2,5.5,2,7,6,27.34,1,4.25,0,0
3149,7,22.24,11,36,13,39.36,9,29.645,3,8.365
3150,17,72.65,9,34.1,32,137.19,9,27.75,2,7.16
3151,2,6.5,3,13.4,3,7.75,2,7,0,0
3152,6,13.5,16,68.435,12,59.22,12,43.3,2,6.64
3153,10,28.9,16,76.285,7,23.12,5,16.645,0,0
3154,1,5,0,0,1,3,1,8,0,0
3155,7,31.3,10,43.25,5,15.75,3,9,0,0
3156,19,53.9,21,81.8,15,60.155,13,48.19,2,4
3158,5,14.4,1,5,2,10,1,9,2,9.5
3159,1,3.5,1,3,1,5,0,0,0,0
3160,3,9.25,8,32.35,3,11.5,0,0,0,0
3161,0,0,1,5.5,2,13,1,8,0,0
3162,3,12,3,9,3,20.83,2,11.3,0,0
3163,3,9,3,7.75,6,16.99,3,8.5,0,0
3164,1,5.49,1,40,0,0,0,0,0,0
3165,9,31.75,11,45.49,12,36.5,6,18,3,12
3166,7,28.29,5,19.2,5,27.32,9,37.58,0,0
3167,7,25,1,5,6,18,1,3,0,0
3168,1,2.75,6,44.94,1,2,2,6.18,0,0
3169,5,19.5,9,32.66,10,34.99,1,5,0,0
3170,10,30.56,8,27.52,7,23.5,5,15.5,0,0
3171,8,30.75,3,13,9,59.56,3,18,0,0
3172,6,30.5,16,67.25,12,56.37,7,23.5,2,7
3173,12,40,7,25.75,7,27.25,8,36.35,2,4.5
3174,16,57.81,10,37.27,13,37.11,7,29.5,1,3
3175,15,46.15,22,87.95,13,84.66,11,78.08,2,16
3177,6,20,7,23.96,4,12.5,2,8,0,0
3178,14,50.4,12,39.37,17,119.75,11,64.68,6,25.5
3179,2,3.75,4,12.5,4,17.05,4,13,1,4
3180,3,8.9,3,7,1,10,2,9.51,1,3
3181,1,5,1,2,0,0,1,1.96,1,24
3182,2,3.55,1,5,1,3,0,0,0,0
3183,1,10,2,5,0,0,0,0,0,0
3184,0,0,2,12.25,0,0,1,3.1,0,0
3185,1,3,1,1.5,1,3.12,3,10,0,0
3186,1,4,5,20.22,5,27.289,8,34.1,1,5
3187,2,7.5,4,25.29,6,27,6,19.35,1,5
3188,4,15,4,16.5,7,25.19,2,9.5,1,4
3189,1,2.5,2,7.93,2,8,1,3,0,0
3190,4,13,1,3,2,3.03,1,3,0,0
3191,1,5,3,13.5,4,14,1,3,0,0
3192,5,16,8,27.56,12,53.61,4,9.5,0,0
3193,4,14,6,25.515,7,24.87,4,15,1,3.5
3194,1,2,3,12,3,7.75,4,21,0,0
3195,13,45.5,19,69.19,17,97.59,13,38.75,3,10.5
3196,7,25.08,7,24.1,10,45.06,5,21.145,2,4.48
3197,2,6.5,7,28.5,7,23.5,3,14.51,1,5
3198,7,27.14,10,61.2,12,53.95,5,14,3,57.16
3199,22,78.402,30,108.685,23,97.34,11,54.251,3,10.5
3200,10,27.15,0,0,0,0,1,5,0,0
3201,10,33.45,13,57.08,13,64.02,10,27.66,1,4.5
3202,0,0,0,0,1,1.5,1,3.5,0,0
3204,11,36.37,3,11,12,39.51,7,21.62,0,0
3205,0,0,0,0,2,8.25,2,9.194,0,0
3206,4,14.3,3,8.43,1,5,1,10,1,2
3207,0,0,0,0,3,12.055,0,0,0,0
3211,1,5,1,3.6,1,2,1,4.34,0,0
3212,6,17.55,15,55.45,9,33.09,7,25.5,3,9.25
3213,2,8.38,1,3.6,6,57,3,15.74,0,0
3214,5,8.55,12,52.21,26,88.23,9,31.645,1,3
3215,8,25.28,14,44.2,8,23.645,5,20.995,2,6
3216,29,121.535,36,183.23,35,126.73,24,87.49,3,9.96
3217,1,3,4,13.75,1,4.935,1,3,0,0
3218,6,22,5,16.91,4,12.77,1,1.75,1,1.62
3219,5,14.5,11,24.81,12,34.45,4,18,2,4.75
3220,5,24.285,7,45.5,4,13.98,6,24.5,0,0
3221,1,3,1,3,1,3,0,0,0,0
3222,4,19.62,25,97.38,18,62.405,4,19,2,4.75
3223,4,9.25,9,21.275,9,35,3,12,1,5.5
3224,16,56.1,15,50.07,14,46.875,7,26,2,7
3225,3,10.74,3,8.705,4,12,3,10.03,0,0
3226,12,45.615,22,64.495,18,66.625,8,37.78,0,0
3227,2,9.4,2,9,7,21.53,3,9.17,0,0
3228,8,31.75,13,52.7,13,55.2,7,29.964,1,2.7
3230,5,70,3,7.115,6,23.07,3,8.5,0,0
3231,0,0,2,7.82,2,7.5,1,3.12,0,0
3232,1,3,0,0,1,3.66,0,0,0,0
3233,1,4,1,1.6,0,0,0,0,0,0
3234,0,0,0,0,0,0,0,0,0,0
3235,1,3.12,1,2,1,3.995,0,0,0,0
3236,0,0,0,0,0,0,0,0,0,0
3237,0,0,2,7,0,0,0,0,0,0
3238,0,0,1,3,0,0,1,4,0,0
3239,0,0,0,0,0,0,0,0,0,0
3240,1,12,1,5.25,6,23.505,1,3,0,0
3241,1,3.12,1,5,2,8,1,4.935,0,0
3242,0,0,0,0,0,0,0,0,0,0
3243,0,0,0,0,0,0,0,0,0,0
3249,0,0,1,4,1,5,4,14.555,0,0
3250,6,40,8,27.05,9,30.55,6,27,0,0
3251,0,0,0,0,0,0,0,0,0,0
3254,0,0,1,2,0,0,0,0,0,0
3260,1,5,2,7,1,2.5,2,7.5,0,0
3264,3,8.5,1,5,1,5,0,0,0,0
3265,0,0,0,0,1,4,1,4.94,0,0
3266,1,4.16,4,16.4,1,2,2,6,0,0
3267,0,0,1,3.29,0,0,0,0,0,0
3268,0,0,2,7,0,0,0,0,0,0
3269,0,0,0,0,1,5,0,0,0,0
3270,0,0,0,0,0,0,0,0,0,0
3271,0,0,0,0,0,0,0,0,0,0
3272,1,3.5,1,3,2,5.41,2,7,0,0
3273,0,0,0,0,0,0,0,0,0,0
3274,0,0,0,0,0,0,1,4.94,0,0
3275,1,3.12,1,5,0,0,0,0,0,0
3276,0,0,0,0,0,0,0,0,0,0
3277,0,0,1,4,0,0,1,4.5,0,0
3278,0,0,0,0,0,0,0,0,0,0
3279,0,0,0,0,1,3,0,0,0,0
3280,9,48.27,10,37.18,13,42.22,11,31.26,3,9
3281,0,0,1,5,1,2,3,10.34,0,0
3282,0,0,0,0,3,11.87,1,2,0,0
3283,0,0,0,0,0,0,0,0,0,0
3284,2,12.64,2,34.16,3,38,1,2,0,0
3285,0,0,0,0,0,0,0,0,0,0
3286,0,0,0,0,0,0,0,0,0,0
3287,0,0,0,0,0,0,0,0,0,0
3289,0,0,0,0,0,0,2,9,0,0
3292,0,0,0,0,0,0,0,0,0,0
3293,0,0,0,0,0,0,0,0,0,0
3294,1,3,0,0,1,3,1,3,0,0
3300,5,14.93,3,10,6,20.44,5,21.015,0,0
3301,0,0,1,8.16,2,6,0,0,0,0
3302,1,3,0,0,0,0,0,0,0,0
3303,0,0,0,0,1,3,0,0,0,0
3304,2,8,2,8.94,1,3,0,0,0,0
3305,3,11.5,5,13.84,4,16.75,1,5,0,0
3309,0,0,0,0,0,0,0,0,0,0
3310,0,0,0,0,0,0,0,0,0,0
3311,1,2.5,1,5,0,0,0,0,0,0
3312,1,4.8,1,2,0,0,0,0,0,0
3314,1,2.5,0,0,0,0,0,0,0,0
3315,1,5,1,3,0,0,0,0,1,4
3317,0,0,0,0,0,0,0,0,0,0
3318,0,0,0,0,0,0,1,5,0,0
3319,0,0,1,3,0,0,0,0,0,0
3321,3,16.66,2,5,2,7,0,0,0,0
3322,0,0,0,0,0,0,0,0,0,0
3323,0,0,0,0,0,0,0,0,0,0
3324,0,0,0,0,1,4.5,0,0,0,0
3325,0,0,0,0,0,0,0,0,0,0
3328,1,5,0,0,3,11.93,0,0,0,0
3329,0,0,1,5,0,0,0,0,0,0
3330,0,0,0,0,1,1.88,0,0,0,0
3331,5,17.5,2,7.8,5,21.11,4,14.4,0,0
3332,1,6.48,0,0,0,0,0,0,0,0
3333,1,3.5,1,3,0,0,0,0,0,0
3334,0,0,1,5,1,3,1,3,0,0
3335,1,5.06,3,10.25,2,5,1,3,0,0
3337,16,47.5,23,80.48,27,90.055,12,42.385,0,0
3338,19,68.33,10,37,15,47.845,3,13,1,2
3340,13,51,20,76.322,12,55.9,4,12.615,1,4
3341,2,7.5,2,8.34,0,0,0,0,0,0
3342,0,0,2,7,3,6.1,1,2,0,0
3345,1,3,2,10,2,9.5,0,0,0,0
3350,11,62.54,18,62.14,19,106.1,14,123.08,0,0
3351,1,4,7,27.5,9,32.055,4,14.5,0,0
