"Small.Unit.Installation.Postcode","Jan.2013...Installations.Quantity","Jan.2013...SGU.Rated.Output.In.kW","Feb.2013...Installations.Quantity","Feb.2013...SGU.Rated.Output.In.kW","Mar.2013...Installations.Quantity","Mar.2013...SGU.Rated.Output.In.kW","Apr.2013...Installations.Quantity","Apr.2013...SGU.Rated.Output.In.kW","May.2013...Installations.Quantity","May.2013...SGU.Rated.Output.In.kW","Jun.2013...Installations.Quantity","Jun.2013...SGU.Rated.Output.In.kW","Jul.2013...Installations.Quantity","Jul.2013...SGU.Rated.Output.In.kW","Aug.2013...Installations.Quantity","Aug.2013...SGU.Rated.Output.In.kW","Sep.2013...Installations.Quantity","Sep.2013...SGU.Rated.Output.In.kW","Oct.2013...Installations.Quantity","Oct.2013...SGU.Rated.Output.In.kW","Nov.2013...Installations.Quantity","Nov.2013...SGU.Rated.Output.In.kW","Dec.2013...Installations.Quantity","Dec.2013...SGU.Rated.Output.In.kW","Jan.2014...Installations.Quantity","Jan.2014...SGU.Rated.Output.In.kW","Feb.2014...Installations.Quantity","Feb.2014...SGU.Rated.Output.In.kW","Mar.2014...Installations.Quantity","Mar.2014...SGU.Rated.Output.In.kW","Apr.2014...Installations.Quantity","Apr.2014...SGU.Rated.Output.In.kW","May.2014...Installations.Quantity","May.2014...SGU.Rated.Output.In.kW","Jun.2014...Installations.Quantity","Jun.2014...SGU.Rated.Output.In.kW","Jul.2014...Installations.Quantity","Jul.2014...SGU.Rated.Output.In.kW","Aug.2014...Installations.Quantity","Aug.2014...SGU.Rated.Output.In.kW"
"6164",58,135.93,64,184.89,51,156.809,65,168.82,61,178.38,54,196.032,59,173.62,43,146.88,69,255.145,42,130.7,37,114.502,35,150.37,46,142.74,46,150.555,51,175.17,51,192.05,43,142.222,61,215.48,73,270.57,34,116.31
"6165",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25,0,0
"6166",8,21.7,8,20.04,6,48.8,9,30.25,7,53.425,8,64.07,3,4.5,3,8.44,9,25.77,7,21.3,4,11.64,3,10,8,23.481,11,34.745,8,27.6,5,19.6,9,38.278,6,26.5,11,38.925,2,6.845
"6167",26,53.92,21,57.19,30,78.945,24,57.52,34,118.25,22,62.14,15,40.11,20,56.51,11,28.53,24,67.565,17,51.55,22,59.82,12,27.635,38,103.885,22,64.25,31,102.42,28,147.855,17,64.94,25,77.29,9,31
"6168",21,80.72,33,81.33,27,123.67,22,56.805,34,77.565,25,55.54,13,44.32,15,34.86,18,43.54,19,50.715,30,66.58,17,33.435,18,96.33,18,51.4,19,58.81,19,63.25,17,52.375,22,99.72,21,59.32,8,23.25
"6169",50,153.64,37,92.955,35,88.587,43,118.12,56,133.685,49,128.3,50,139.305,34,103.78,18,58.485,37,122.275,33,80.86,25,78.945,42,112.225,48,129.99,36,123.56,35,119.565,39,141.742,36,120.25,27,87.645,20,67.1
"6170",11,25.66,10,22.04,13,35.58,11,28.97,13,39.32,9,30.84,11,36.94,13,37.4,10,26.51,17,50.45,22,68.57,11,37.045,10,32.52,15,36.305,14,41.46,9,29.25,11,37.57,15,49.5,10,30.7,3,10.8
"6171",37,87.833,47,130.065,56,141,31,88.765,58,168.466,32,92.7,33,81.26,32,103.515,20,64.36,45,133.035,64,205.485,26,80.34,42,131.277,57,182.954,48,164.1,44,142.325,51,150.705,38,120.9,46,162.62,30,97.745
"6172",17,53.48,24,58.64,16,40.75,27,72.49,16,48.37,13,35.04,11,29.92,18,52.97,20,101.06,20,95.52,17,50.71,10,45.62,15,37.07,19,72.3,10,31.5,13,49.09,12,41.95,11,34.5,6,21.75,2,9.5
"6173",10,43.765,11,31.92,7,19.85,18,61.225,11,43.715,11,35.34,17,49.78,3,10.24,9,23.47,16,56.11,11,39.03,14,49.236,18,57.2,14,45.7,10,47.4,11,45.5,8,27.6,10,31.65,11,34.25,3,7.25
