"Small.Unit.Installation.Postcode","Jan.2013...Installations.Quantity","Jan.2013...SGU.Rated.Output.In.kW","Feb.2013...Installations.Quantity","Feb.2013...SGU.Rated.Output.In.kW","Mar.2013...Installations.Quantity","Mar.2013...SGU.Rated.Output.In.kW","Apr.2013...Installations.Quantity","Apr.2013...SGU.Rated.Output.In.kW","May.2013...Installations.Quantity","May.2013...SGU.Rated.Output.In.kW","Jun.2013...Installations.Quantity","Jun.2013...SGU.Rated.Output.In.kW","Jul.2013...Installations.Quantity","Jul.2013...SGU.Rated.Output.In.kW","Aug.2013...Installations.Quantity","Aug.2013...SGU.Rated.Output.In.kW","Sep.2013...Installations.Quantity","Sep.2013...SGU.Rated.Output.In.kW","Oct.2013...Installations.Quantity","Oct.2013...SGU.Rated.Output.In.kW","Nov.2013...Installations.Quantity","Nov.2013...SGU.Rated.Output.In.kW","Dec.2013...Installations.Quantity","Dec.2013...SGU.Rated.Output.In.kW","Jan.2014...Installations.Quantity","Jan.2014...SGU.Rated.Output.In.kW","Feb.2014...Installations.Quantity","Feb.2014...SGU.Rated.Output.In.kW","Mar.2014...Installations.Quantity","Mar.2014...SGU.Rated.Output.In.kW","Apr.2014...Installations.Quantity","Apr.2014...SGU.Rated.Output.In.kW","May.2014...Installations.Quantity","May.2014...SGU.Rated.Output.In.kW","Jun.2014...Installations.Quantity","Jun.2014...SGU.Rated.Output.In.kW","Jul.2014...Installations.Quantity","Jul.2014...SGU.Rated.Output.In.kW","Aug.2014...Installations.Quantity","Aug.2014...SGU.Rated.Output.In.kW"
"3084",9,21.33,3,13,2,20.1,10,38.25,6,60.36,0,0,4,11.045,3,13,12,37.56,7,29.825,10,34.09,6,15,6,31.25,11,50.83,10,40.58,12,45.795,12,49.125,3,8.5,10,50.2,0,0
"3085",3,9.12,2,7.92,0,0,1,3,1,2,3,12.9,5,16.22,3,9.48,4,11.045,7,22.3,4,15.5,2,6.75,1,3.5,6,20.5,7,20,5,15.75,8,27.91,6,20,4,13.4,0,0
"3087",2,6.8,3,8.1,3,7.54,4,11.875,0,0,1,4,1,3.33,1,5,2,7.5,2,4.75,0,0,3,7.03,4,12.09,5,19.06,4,14.5,2,6.68,3,8.75,6,22.96,4,14,1,3.25
"3088",8,22.33,8,18.36,10,30.42,12,43.23,13,46.46,2,8.5,7,25.5,5,21,14,46.1,5,15.55,10,37.01,7,22,12,45.39,13,39.51,17,79,16,50.77,18,61.5,8,53,9,31.1,0,0
"3089",3,11.4,7,27.14,3,4.94,2,4.24,8,43.72,3,8.35,3,9.645,4,14.6,7,24.04,6,22.12,2,7.56,3,5.35,0,0,4,16,5,17.85,4,15.25,10,41.13,4,18.5,5,20.15,2,6.1
"3090",0,0,0,0,1,4.32,0,0,1,5.28,0,0,4,23.75,2,10.41,1,4,0,0,0,0,1,9,1,3,1,10,3,21.5,1,4.5,1,9,1,4.8,1,5,0,0
"3091",2,6,0,0,1,2,0,0,0,0,1,2,0,0,1,4.5,2,8.5,0,0,1,10,0,0,0,0,3,10,2,9.09,1,13,3,24,2,7.5,1,10,0,0
"3093",0,0,1,2.6,1,8,1,1.6,3,10,0,0,4,17.905,2,12.5,1,5,1,5,1,10,1,2,1,1.75,0,0,1,3,2,17.5,1,5,1,5,1,4.5,0,0
"3094",2,5.8,0,0,4,11.89,1,2.64,3,5.145,5,15.08,1,5,2,7.23,4,14,3,12,3,7,3,9,6,21.355,3,11,2,6.5,7,18.06,3,18.06,2,7,3,7.18,0,0
"3095",6,21.5,8,28.2,6,23.48,13,52.94,10,37.23,2,6.5,7,22.64,5,20,7,33.39,7,29.5,5,26.5,9,37.6,9,28.88,8,22.475,12,39.245,10,40.095,17,69.512,11,45.64,3,18.46,1,3.27
"3096",0,0,0,0,0,0,0,0,1,1.75,1,1.965,0,0,0,0,1,4.5,2,5,2,8,1,1.75,1,2.25,0,0,0,0,2,8.5,3,7.685,3,8.1,2,8.5,0,0
"3097",0,0,1,4.5,1,4.5,0,0,1,10.64,0,0,1,4.5,2,6.5,1,3.78,0,0,5,21.96,0,0,0,0,1,4.5,5,22.225,2,11.87,1,3,1,4.5,1,3,0,0
"3099",1,9.75,2,8.55,2,9.5,2,6.54,3,14.5,2,5.1,1,4,2,5.79,4,14.94,5,23.18,4,13.67,4,16.6,4,12.25,1,4.5,2,6.06,0,0,1,12,3,11.1,0,0,0,0
"3101",2,8.26,3,20.765,3,16.42,4,11.545,4,16.8,3,8.1,1,26.5,5,30.66,5,18.75,4,14.475,8,34.96,7,29.285,4,21.27,4,14.12,5,17.5,1,5,4,17.578,3,13.66,2,8.55,0,0
"3102",1,3.2,1,1.5,2,7.07,0,0,1,4.5,2,6,0,0,0,0,1,1.5,1,5,0,0,1,4,0,0,1,2,3,7.615,1,3,4,10.5,2,6.48,2,7,0,0
"3103",4,12.92,1,2,0,0,0,0,0,0,5,19.6,3,9.75,8,41,6,31,3,21.75,2,5.4,13,41.165,2,6,3,13.8,1,5,1,3,3,12.5,4,21,2,8.08,1,4.5
"3104",1,1.61,4,12.57,2,10,4,24.23,8,34.5,5,16,3,10.14,2,9.5,8,30.85,9,47.156,5,23.395,2,8.375,6,19.75,1,4,7,30,2,8,5,17,8,33.38,6,26.5,2,6
"3105",0,0,2,8.29,3,11,3,8.07,6,26.14,2,9,3,12.07,3,12.5,2,7.4,2,12.98,1,1.75,0,0,0,0,2,6.25,5,26.21,2,6,9,31.7,4,16.5,2,8,0,0
"3106",5,13.88,4,14.07,2,6,7,37.46,6,21.5,4,15,4,21.088,8,57,7,29.724,7,31,6,23.8,4,17.4,3,10.5,4,17,7,28,3,12.75,6,30.7,6,26.31,3,12.6,2,5
"3107",3,8.81,4,12.52,3,8.65,1,1.5,2,8,2,10,2,8.12,5,16,3,14,4,10.9,5,15.25,2,7,0,0,4,13.3,2,6,4,17,8,30,5,18,6,18.27,0,0
"3108",6,10.8,3,7.7,8,27.82,3,7.37,4,16.06,1,4,6,19.75,4,17.5,4,10.04,1,5,5,15.25,6,22.25,4,17,3,14,3,9.5,5,16.055,5,16,6,19.078,3,10.55,0,0
"3109",4,20,5,23.72,6,20.84,9,24.12,8,25.5,6,22.54,6,18.12,10,44.105,5,23.62,7,23.5,5,24.259,7,25.4,2,6.055,5,15.115,11,43.66,1,3,8,30.75,9,38.19,12,47,1,2.48
"3111",2,7.44,5,13.94,7,24,4,12.28,4,13,4,13.5,4,26.5,3,17.5,6,22.015,5,24.25,3,13.935,3,15.1,5,23,4,12,2,8.5,3,19,3,13,6,24.89,2,9.5,0,0
"3113",2,8.66,4,14.8,1,9,4,12.58,3,12.07,4,22.34,5,21.982,4,19.25,1,2,4,25,6,22.19,5,17.18,4,13.5,7,29.24,3,26.44,4,17,10,47.5,4,23.935,4,23.5,0,0
"3114",0,0,0,0,3,8,1,4.5,0,0,2,19.52,1,2.73,3,19.49,1,4,0,0,0,0,2,9.83,2,9.5,3,9.34,0,0,0,0,1,4.5,3,11.5,0,0,0,0
"3115",1,4,3,7.12,1,2,0,0,2,6,2,14,2,6.1,0,0,2,7.5,3,21.46,1,4.5,0,0,3,13.94,3,15.5,3,13.95,5,25.5,1,4.5,1,4.5,3,14,0,0
"3116",7,17.8,1,4.68,4,14.44,0,0,6,20.51,7,20.89,4,12.45,4,14.78,5,19.09,9,34.79,5,9.6,7,24.49,4,16.07,10,36.015,5,18,2,6,6,25.7,6,21.6,3,9,0,0
"3121",2,7.5,6,21.56,3,5.04,3,10.79,4,13.23,4,13.93,3,18.352,4,13.2,4,15.42,4,15.8,2,6.72,0,0,1,3,5,12.75,2,34,15,45.649,13,40.443,3,11,3,8.75,1,5
"3122",2,9.21,0,0,2,4,3,11.2,4,13.2,4,15.924,2,11.83,3,11.178,2,7.764,0,0,5,15.31,5,20.745,1,4.94,0,0,4,26.97,1,4.5,4,34.452,1,20,5,41.25,0,0
"3123",0,0,2,6.07,2,7.2,1,1.6,3,14,5,27.12,1,5,0,0,3,14.74,2,8.25,2,10.44,4,13.3,3,7.75,2,7.855,3,11,3,8.5,3,12.5,4,10.97,1,5,0,0
"3124",4,12.76,3,6.695,1,2,8,38.179,3,12.86,6,26.73,5,18.42,4,14.5,1,3.48,5,14.25,3,11,3,11,3,10.945,4,11,2,7.5,5,18.5,2,13.5,3,17.95,3,11.535,0,0
"3125",1,2.4,4,12,4,9.93,5,9.27,1,2,3,6.9,5,18.78,4,13.535,1,2,5,18.13,5,21.12,5,17.5,3,11.5,4,21.25,4,13.82,5,15.5,5,21.42,0,0,0,0,0,0
"3126",1,2,0,0,0,0,1,3.12,1,1.4,1,3,2,9.57,1,5,2,14.25,1,3.97,0,0,0,0,0,0,1,2,1,2,1,5,2,9.65,1,5,2,7,0,0
"3127",5,14.1,2,6,1,2.88,4,13.195,3,14.748,2,5.88,5,12.65,6,22.8,2,6.5,4,13.75,4,22,5,17.68,4,10.25,3,5.5,7,25.58,4,9.58,8,31,2,5.365,4,12.5,2,9
"3128",5,18.58,4,8.48,1,4,1,3.2,3,74.5,4,10.5,4,14.42,1,2,2,4.2,2,8,5,23.16,2,8,2,4.5,2,10,3,11,6,23.98,7,27.705,3,13,3,14,2,10.25
"3129",7,19.6,5,16.25,5,18.56,2,7.905,0,0,3,7.55,5,17.25,6,14.58,5,11.04,2,6,4,10.87,2,4,2,6,2,5.25,6,15.77,2,7,5,17.16,2,8.25,3,9.64,1,5
"3130",9,23.86,5,14.87,10,33.94,6,18.8,4,10.06,6,19.84,7,27.465,13,32.43,12,47.7,12,38.226,12,95.81,10,30.9,7,22.48,13,41.11,15,56.51,13,57.051,10,32.78,10,34.75,10,31.145,2,6
"3131",7,19.82,5,14.9,7,29.8,4,13.4,7,26.08,5,34.5,4,18.11,5,19.56,3,9.14,4,12.45,6,23.48,6,24.6,3,10.25,7,28,8,25.05,6,21.06,3,8,6,25.25,10,46.92,0,0
"3132",2,4.07,3,8.88,2,6.6,3,11.24,3,45,5,22.16,1,8,4,17.09,3,11,4,11,3,10,0,0,9,27.25,6,15,5,16.75,4,7.25,4,54.5,6,26.24,2,6.5,1,4.96
"3133",10,26.09,9,32.94,9,31.805,4,13,9,34.67,4,14.84,10,43.35,5,20.5,8,26.832,9,31.77,4,14.95,8,38.63,8,30.75,10,40.44,13,54.48,6,20.44,9,37.25,13,51,10,32.97,1,1.75
"3134",4,13.6,7,21.74,5,15.44,7,21.4,13,42,12,76.19,12,37.814,4,10.015,8,33.57,9,35.745,9,28.41,9,32.5,11,45.5,14,47.12,17,52.75,18,71.25,7,120.5,9,23.6,12,49.75,0,0
"3135",5,16,4,13,9,32.18,8,23.89,8,22.53,5,14.895,7,21.81,2,9.5,5,20.5,4,15.79,10,27.5,2,3.33,10,35.58,5,16.5,16,51.415,7,27.96,9,36.69,4,14.94,5,17.08,3,8
"3136",13,28.66,9,52.69,19,53.15,13,37.72,15,59.06,24,71.899,10,25.06,21,72.43,18,59.21,12,34.87,17,53.4,15,51.92,24,101.395,18,56.84,27,94.69,23,87.29,24,104.72,20,57.96,10,33.145,1,8
"3137",4,11.78,9,86.27,9,27.64,8,20.14,7,20.7,8,21.46,7,26.17,4,14.475,5,28.5,11,58.54,8,20.6,8,32.9,6,17,15,48.65,8,31.005,3,11.58,5,21,5,16.5,4,22,1,4.5
"3138",9,27.62,8,32.3,7,19.02,8,19.68,11,35.28,11,40.97,10,33.6,9,30.48,10,46.43,11,37.985,12,43.75,8,31.9,6,13.05,5,18.5,12,40.31,8,30,10,39,6,19.25,7,26.475,2,4.5
"3139",4,18.25,8,28.95,9,39.65,11,43.07,16,45.42,14,70.925,12,33.35,11,59.6,8,38.79,15,63.06,17,72.44,13,51.04,11,42.25,18,78.84,13,79.8,7,31,16,71.77,5,23.72,8,43.58,1,8.1
"3140",4,7.03,7,25.5,8,28.325,10,38.16,11,43.44,10,42.465,7,24.9,5,23.62,4,11.4,4,14.5,19,66.4,7,28.43,3,9.8,11,44.44,15,59.67,10,42.45,9,32.145,9,36.93,9,34.58,0,0
"3141",0,0,0,0,0,0,3,9,0,0,2,10,2,77,0,0,0,0,1,5.3,1,9.88,2,6.14,0,0,0,0,2,6,3,11,1,35.19,2,4.77,2,4.3,0,0
"3142",0,0,0,0,1,2.5,0,0,1,3,1,10.29,3,9.69,2,6.525,1,2,1,5.7,3,20.76,1,3,0,0,2,10,0,0,0,0,0,0,1,5.5,1,12,0,0
"3143",0,0,1,2,3,28.12,0,0,2,4.57,2,8.27,0,0,1,3,1,5,2,9.22,1,3,1,2,2,8.5,2,8.62,1,2.29,1,2,1,3.51,2,9.16,0,0,0,0
"3144",1,4.995,2,12.76,2,6,2,8.07,3,9,0,0,0,0,3,12.56,1,8,1,5,3,22.5,1,4.75,2,10.05,1,4.16,1,2.9,2,5.5,2,20.53,1,4,1,4.05,0,0
"3145",2,9,4,12.65,2,9.879,6,33.75,6,22.74,6,61.83,4,14.615,4,18.1,3,14.5,5,19.75,9,41.595,2,6.775,6,28.66,9,31.305,3,7.12,3,13.12,7,31.25,6,24.2,4,14.46,2,12.48
"3146",0,0,5,21.5,3,11.5,1,4,2,7,2,8,3,12.8,2,10.75,1,5,3,31,5,17.75,4,19.415,7,24.44,8,32.645,10,35.14,7,33,6,18.92,5,24.95,5,40.8,0,0
"3147",1,11,1,5,3,10.87,4,12.42,6,25.46,5,19.5,3,12.29,6,21.11,2,9.23,5,24,1,4.505,3,8.68,3,11.16,4,13.5,6,31.1,3,6.504,1,5,2,12.5,1,4.25,0,0
"3148",4,11.25,1,4,0,0,1,3,0,0,4,10.35,3,10.92,1,5.01,2,6.5,3,12.1,2,5.4,2,4,3,10.5,2,7,6,27.34,1,4.25,1,10,1,3.5,2,14,0,0
"3149",12,38.17,7,29.375,13,56,8,25.81,10,27.5,16,49.925,12,35.708,18,73.88,12,36.58,14,52.33,6,20.43,13,42.62,7,22.24,11,36,14,42.93,13,43.415,11,40.495,3,10.5,15,50.04,0,0
"3150",15,55.94,17,47.84,23,96.91,19,69.58,19,72.2,13,54.79,23,71.354,18,73.615,10,36.5,16,62.38,25,91.415,16,51.12,17,72.65,9,34.1,35,147.69,19,64.75,24,143.42,11,40.9,6,25.48,4,19.6
"3151",4,9.7,2,6.8,3,7.14,3,9.35,4,12,7,26.21,2,5.06,3,11.475,4,13,1,5,2,8,2,5.5,2,6.5,3,13.4,3,7.75,4,15,4,12.5,4,12.5,2,8.5,0,0
"3152",12,32.38,13,44.84,5,16.36,6,19.04,13,37.08,12,37.9,6,26.54,14,43.254,17,60.63,14,53.34,11,49.44,12,35.79,6,13.5,17,71.435,15,68.72,15,50.64,14,50.98,12,51.25,13,46.78,2,8.5
"3153",11,94.14,8,36.73,13,67.14,6,19.66,7,22.59,12,49.78,9,48.96,8,36.5,9,76.016,11,87.15,14,52.48,6,20.74,10,28.9,16,76.285,7,23.12,10,89.645,16,53.66,12,55.02,8,56.3,2,4.99
"3154",2,6.64,1,2.4,1,4.5,2,15,5,17.34,1,5,3,15,3,7.87,2,9,0,0,0,0,4,20.25,1,5,0,0,1,3,2,11.6,3,11,2,9.5,1,4.5,0,0
"3155",4,15.8,7,20.4,8,24.869,13,79.74,5,13.84,4,15.48,8,18.83,6,15.904,7,18.39,10,34.37,2,6.1,7,26.8,7,31.3,11,48.25,5,15.75,5,15.5,8,44.74,7,26,11,38.5,2,7.96
"3156",18,54.91,19,61.41,23,72.04,17,57.56,14,56.488,16,61.55,26,94.295,20,81.54,22,81.48,15,56.6,16,53.98,17,66.03,20,58.4,22,86.8,15,60.155,20,67.19,25,95.36,10,41.855,17,72.46,2,7.41
"3158",3,8.94,5,13.46,1,1.6,1,1.71,3,8.19,5,23.25,1,5,1,4,1,10,1,1.4,1,4.5,2,4.52,5,14.4,2,7,2,10,1,9,4,19,1,2.94,3,10,0,0
"3159",1,2.88,0,0,1,1.6,1,3.12,1,5,0,0,0,0,2,7.5,1,1.4,1,10,1,5,0,0,1,3.5,1,3,1,5,0,0,0,0,1,3,0,0,1,4.5
"3160",1,1.6,1,3.2,1,5.2,3,12.38,0,0,5,16.29,3,8.25,3,12,0,0,5,19.6,2,9,2,11.75,3,9.25,8,32.35,3,11.5,3,9.5,2,7,3,13.5,2,6.75,0,0
"3161",1,5,0,0,3,10.64,1,1.715,4,17.5,0,0,2,7.08,2,8.92,1,2.115,1,1.4,1,6,0,0,0,0,1,5.5,3,14.962,5,28.5,0,0,0,0,3,8.75,0,0
"3162",2,4.962,4,12.1,3,11,1,1.44,1,6,1,3.2,3,28.1,1,4.25,2,7.4,4,15.05,1,4,5,20.9,3,12,3,9,4,23.83,3,33.3,2,4.4,6,21.83,4,14.5,1,3
"3163",5,15.13,3,9.5,5,13.36,14,47.24,8,31.07,5,16.29,7,21.97,4,8.74,7,22.82,8,29.535,8,28.515,7,22.85,3,9,4,13.15,6,16.99,4,11.5,11,35.98,7,32.212,3,6.5,0,0
"3164",0,0,0,0,0,0,1,14,0,0,0,0,0,0,0,0,0,0,1,98.6,0,0,0,0,1,5.49,1,40,0,0,0,0,0,0,0,0,1,10,0,0
"3165",4,11.13,8,26.4,8,22.53,5,16.23,3,12,4,15.995,6,18.12,10,32,3,12.8,9,26.75,12,41.205,7,37.55,10,34.25,11,45.49,12,36.5,7,21.5,11,33.73,6,18.45,4,19.175,1,1.5
"3166",6,22.9,7,24,12,38.7,6,48.5,5,18.75,2,7.83,8,25.305,4,13,7,24.52,8,29.51,3,13.9,5,13.39,8,33.29,6,22.68,5,27.32,10,42.58,4,14.24,7,22.78,9,32.08,1,30
"3167",2,3.1,2,6,4,15,4,21.75,5,16.918,3,9.5,5,14.025,4,11.5,4,18.13,3,11,2,7.8,5,15,7,25,1,5,6,18,4,19.94,3,11,3,11.24,3,11.2,2,13
"3168",4,13.42,3,10,3,37.28,3,6.84,2,6,2,8,0,0,3,9.57,5,14.504,5,16.89,6,15.93,1,5,2,4.75,6,44.94,4,32.02,4,21.18,5,21.67,1,1.5,4,71.1,0,0
"3169",9,22.1,9,32.065,3,8.38,7,20.439,7,21,6,19.145,11,56.59,8,29,6,28.56,6,19.53,9,17.23,6,25.155,5,19.5,9,32.66,10,34.99,1,5,4,15.06,4,15.9,8,26.75,1,5.232
"3170",8,83.28,1,2.5,6,21.7,4,13.4,1,5,5,15.32,9,31.63,5,23.54,5,24.5,10,48.2,7,23.25,1,3,10,30.56,8,27.52,8,28.5,6,20.5,12,69.775,3,10,11,45.64,1,3
"3171",30,77.89,9,47.21,12,47.44,8,25.88,6,20,3,12.56,14,65.42,8,34.5,10,36.065,8,39,6,23.62,5,21.8,8,30.75,3,13,11,70.96,10,60,9,67.26,8,41.232,3,9.88,0,0
"3172",14,44,10,32.7,9,36.4,10,41.75,13,41.3,7,29.2,14,49.02,6,19.85,7,28.5,16,107.724,12,46,8,24.2,7,33.5,16,67.25,12,56.37,11,38.3,10,42.34,6,22.5,6,25,2,7.03
"3173",21,63.87,15,47.25,14,44.54,14,46.704,23,88.15,11,55.215,18,184.3,9,28.57,14,62.6,22,99.5,16,75.245,9,40.45,12,40,7,25.75,8,31.25,12,84.99,24,96.905,12,73.25,18,77.25,1,5
"3174",17,52.53,11,44.2,17,54.48,9,28.55,20,97.9,14,52,17,59.14,13,45.38,7,26,10,44,17,58.27,5,14.2,17,61.81,10,37.27,13,37.11,13,47.5,20,73.2,18,60.52,20,70.75,1,4.91
"3175",22,63.9,9,59.44,16,75.06,17,109.285,22,129.44,14,63.8,16,62.38,18,121.008,17,93.145,18,60.915,17,113.5,20,199.05,15,46.15,22,87.95,13,84.66,18,204.08,24,206.755,13,96.11,14,74.33,6,24.4
"3177",5,28.28,4,10.5,5,11.21,6,19.56,5,14.83,2,3.7,3,12.8,2,8.84,3,8,3,8,3,13.25,3,11.5,6,20,7,23.96,4,12.5,3,10,3,10.06,3,10.2,3,11.25,0,0
"3178",17,49.55,12,40.04,18,57.95,12,48.415,9,27.875,21,66.93,16,56.98,21,73.37,12,54.32,15,60.05,10,35.345,20,82.97,15,54.9,12,39.37,18,122,18,87.18,27,112.97,18,64.75,15,54.5,3,12
"3179",2,2.7,2,5.5,0,0,2,4.5,9,30.43,4,10.35,6,42.09,5,46.14,2,8,3,10.25,4,19,4,12.5,2,3.75,4,12.5,4,17.05,6,21,2,34,1,5,7,25.25,0,0
"3180",5,9.7,3,8.6,3,8.21,3,8.1,2,7.5,9,30.58,1,3,3,9.06,5,39,4,34.66,4,13.79,3,9.22,3,8.9,3,7,1,10,2,9.51,3,23,0,0,2,9,0,0
"3181",1,5,1,4,0,0,2,4.62,3,8,2,12.315,0,0,3,7.61,3,9.58,1,1.5,1,4.5,2,4.5,1,5,1,2,0,0,1,1.96,2,26.5,1,5.3,0,0,0,0
"3182",1,25,0,0,0,0,4,13.34,3,11,1,2,3,8.5,3,7.289,1,1,4,16.914,0,0,2,6,2,3.55,1,5,1,3,0,0,1,3.18,1,5,1,1.5,0,0
"3183",0,0,4,11.315,3,7.5,1,5,1,5.04,2,5.75,1,3.975,1,3.5,0,0,0,0,5,20.29,0,0,1,10,2,5,0,0,0,0,4,10.25,3,11,3,7,0,0
"3184",2,9,1,3,0,0,3,6.462,0,0,0,0,1,3.06,0,0,2,6.5,1,5,2,3.895,1,3.12,0,0,3,17.25,0,0,3,11.1,2,7.02,0,0,4,26,0,0
"3185",2,5.25,2,8,4,13.78,1,5.175,3,8.79,1,1.5,2,7.88,2,5.96,1,2.616,1,1.95,3,11.85,3,10.82,1,3,1,1.5,1,3.12,3,10,4,16.12,1,5.775,1,3,1,9
"3186",6,15.04,10,61.77,3,7.8,7,26.6,4,15.41,0,0,3,11.2,5,24.75,5,24.79,5,32.6,3,16,4,23.73,1,4,5,20.22,8,36.289,10,43.1,5,25,1,3.5,2,7.86,1,7.5
"3187",3,11,2,4.5,2,7.94,2,9.72,2,4.25,1,3.36,4,12.539,5,29.725,2,7.578,3,15.5,2,12.5,2,8.975,2,7.5,5,31.29,6,27,6,19.35,7,36.25,2,9.5,3,12.005,0,0
"3188",7,15.7,5,14.84,3,8.64,3,13.54,7,26.23,4,10.28,5,16.72,4,14.5,4,14.35,7,34.075,5,13.8,2,7.08,4,15,4,16.5,7,25.19,3,13.4,6,19.55,5,42.24,4,15.25,0,0
"3189",3,9,4,8.77,2,4.2,1,2.52,3,18,0,0,1,2.29,2,7.08,0,0,1,3,2,15,1,5,1,2.5,2,7.93,2,8,1,3,0,0,1,6,0,0,1,4.5
"3190",1,3,2,3,4,9.92,0,0,5,17.27,2,7.14,2,9.12,2,6,4,12.57,4,12.475,1,5,6,21.11,4,13,1,3,2,3.03,1,3,1,5,2,3.32,0,0,2,4.5
"3191",0,0,2,6.9,2,3,1,3.5,1,5,2,9.5,0,0,3,6.5,2,10.3,3,7.75,7,25,2,6.5,2,5.5,4,18,4,14,2,6,3,14,7,22.31,2,7,0,0
"3192",5,12.96,4,14.34,4,53.5,0,0,4,13.7,6,15.504,6,20.07,7,53.075,4,10.64,3,11,8,21.16,5,33.04,5,16,8,27.56,12,53.61,5,14.5,9,43.77,6,20,2,6.92,0,0
"3193",6,19.86,3,8.57,3,11.6,4,23.17,3,10.48,4,14.5,10,34.8,5,16.94,3,19,4,11.84,5,21.45,4,13,4,14,6,25.515,7,24.87,9,36,6,22.1,6,20.195,5,17.67,1,2
"3194",4,14.12,2,13.5,4,18.1,0,0,3,7.75,1,4.5,4,10.25,2,9.4,2,8,2,6.18,3,9.6,1,3,1,2,4,16,4,11.75,4,21,1,5,0,0,4,12.32,1,4
"3195",15,47.6,12,35.56,7,18.23,11,40.9,8,26.25,11,40.9,11,38,13,46.45,15,59.95,19,82.45,13,52.035,15,63.17,14,48,19,69.19,21,160.04,25,77.85,20,104.225,13,93.95,9,63.46,3,25.75
"3196",7,19.42,5,10.15,10,48.68,7,22.95,7,25.6,7,22.75,4,12.25,10,32.36,2,8,12,41.825,14,38.82,12,41.05,7,25.08,7,24.1,10,45.06,10,34.395,12,34.42,9,104.45,11,78.2,3,13
"3197",4,13.1,6,20.9,4,14.9,6,15.06,2,11.04,4,11.5,2,9.5,3,9,6,24.12,4,14.79,7,25.25,6,18.04,2,6.5,7,28.5,7,23.5,4,19.51,8,25.5,1,4,4,20.5,2,8
"3198",3,9.4,8,24.4,6,23.68,8,23.44,11,34.91,4,20,9,32.74,6,20.2,8,34.52,8,26.29,12,39.28,8,30.75,7,27.14,10,61.2,12,53.95,8,27.5,12,93.41,7,20.28,6,20.25,0,0
"3199",10,31.96,15,49.825,17,56.64,20,66.72,21,81.94,12,37.9,16,56.07,19,64.859,19,73.359,24,93.85,24,78.555,12,37.96,22,78.402,31,111.685,23,97.34,19,76.931,23,121.28,18,64.3,31,134.21,2,7
"3200",1,2.4,0,0,3,4.6,0,0,0,0,1,4,0,0,3,9.79,3,17.36,3,10,3,7.1,1,1.75,10,27.15,0,0,0,0,4,13,3,11,1,4.25,2,6,0,0
"3201",11,33.17,6,26.82,8,29.41,21,61.91,9,35.21,6,19.75,15,46.68,4,29.74,6,17,13,52.39,19,77.57,10,110.79,10,33.45,15,66.67,14,65.02,15,52.66,11,40.85,6,22.41,10,32.025,0,0
"3202",1,1.5,0,0,1,10,0,0,1,5,0,0,1,5,2,8.61,0,0,0,0,0,0,1,4,0,0,0,0,1,1.5,2,6.5,1,3,0,0,0,0,0,0
"3204",5,11.6,4,11.27,6,17.39,3,6.07,10,21.97,9,28.09,3,20.1,8,24.5,9,29.45,8,25,8,25.04,9,34.65,11,36.37,3,11,15,46.51,14,52.32,10,29.34,14,46.62,7,23,0,0
"3205",1,3.924,4,7.97,2,37,1,1.4,0,0,0,0,0,0,0,0,0,0,1,4.94,1,3.31,1,1.5,0,0,0,0,2,8.25,3,12.694,1,2,1,3,0,0,0,0
"3206",1,6.36,1,32.175,1,1.61,1,5,1,5,0,0,0,0,2,4.5,0,0,2,4,2,5.135,2,4,4,14.3,3,8.43,1,5,1,10,5,17.6,4,17.49,3,16.435,0,0
"3207",0,0,0,0,1,3,2,7.28,2,16.5,1,1.61,5,12.89,1,1.61,0,0,2,12.75,0,0,1,4,0,0,0,0,3,12.055,0,0,3,9.5,1,3,2,6,0,0
"3211",1,5,0,0,1,4,4,13.82,1,9.88,3,16.6,0,0,1,3,1,30,1,5,4,48,0,0,1,5,1,3.6,1,2,1,4.34,0,0,1,4.5,0,0,0,0
"3212",11,38.23,15,43.51,15,51.46,12,50.26,10,51.805,10,43.255,11,115.5,9,32.9,8,25,18,73.61,21,89.225,15,61.235,7,21.55,16,56.95,10,36.09,10,37,23,80.95,14,47.25,4,16,2,7
"3213",1,3,5,28,1,3,6,20.68,4,17.61,9,72.83,7,24.59,2,7.24,2,7.25,3,12.5,3,13,2,8.055,2,8.38,2,6.1,6,57,4,17.24,5,22,4,22,1,4.25,0,0
"3214",11,33.33,19,45.05,12,36.12,15,36.16,11,30.72,18,45.516,6,25.28,5,12.62,10,31.4,10,23.42,10,35.205,7,22.75,5,8.55,12,52.21,26,88.23,11,37.645,16,51.65,6,20,5,17.5,0,0
"3215",7,17.25,14,43.04,15,46.09,10,29.61,9,25.62,17,64.99,15,52.9,6,15.75,8,36.76,10,34.16,9,36.2,6,21.99,9,29.28,15,49.2,9,26.645,6,25.995,16,60.935,13,41.205,8,23.85,0,0
"3216",30,99.01,30,87.995,37,107.83,43,111.89,30,100.335,33,110.51,16,76.21,33,101.33,20,102.2,24,65.395,36,145.135,26,124.27,30,126.535,36,183.23,40,144.48,38,121.99,46,181.76,39,134.345,12,59.265,1,3
"3217",2,3.6,0,0,1,3,0,0,2,11,2,7.68,2,10,1,2,2,4.6,5,30.9,3,14.04,1,5.22,1,3,4,13.75,1,4.935,4,12.6,4,14.435,3,11,6,26,1,4.86
